channel,message_id,date,text,views,forwards,replies,length
AlJazeeraEnglish,13198,2025-05-09 18:04:57+00:00,"Siren Sounds in Israel as Rocket Launched from Yemen
@aljazeeraenglish",11847.0,1.0,0,70
AlJazeeraEnglish,13197,2025-05-09 18:04:50+00:00,"India on High Alert: Drone Strikes, Shelling, and Escalating Tensions with Pakistan
@aljazeeraenglish",10644.0,3.0,0,101
AlJazeeraEnglish,13169,2025-01-22 20:21:12+00:00,"How is Trump likely to shape his policies in next four years? | Inside Story
@aljazeeraenglish",29172.0,21.0,0,94
AlJazeeraEnglish,13168,2025-01-22 17:14:32+00:00,"Israel’s top general resigns over Oct 7 failures | Al Jazeera Newsfeed
@aljazeeraenglish",26830.0,11.0,0,88
AlJazeeraEnglish,13167,2025-01-22 17:14:11+00:00,"Syrians return home after years, reuniting with loved ones but still searching for the missing
@aljazeeraenglish",19487.0,8.0,0,112
AlJazeeraEnglish,13166,2025-01-21 20:36:34+00:00,"Palestinian content creator documents daily life and the harsh realities of Gaza war
@aljazeeraenglish",15249.0,10.0,0,102
AlJazeeraEnglish,13165,2025-01-21 20:36:27+00:00,"How is the world viewing Donald Trump's inaugural address? | Inside Story
@aljazeeraenglish",14510.0,3.0,0,91
AlJazeeraEnglish,13164,2025-01-21 17:28:15+00:00,"Trump policies raise concern over Palestine’s future | Al Jazeera Newsfeed
@aljazeeraenglish",13258.0,4.0,0,92
AlJazeeraEnglish,13163,2025-01-21 17:28:08+00:00,"Aid flowing into Gaza on third day of ceasefire but challenges remain
@aljazeeraenglish",10181.0,3.0,0,87
AlJazeeraEnglish,13162,2025-01-21 17:28:01+00:00,"Inauguration 2025: The Trump world order | The Take
@aljazeeraenglish",9118.0,2.0,0,69
AlJazeeraEnglish,13161,2025-01-21 17:27:40+00:00,"Framing violence: How Israel shaped the narrative and its impact on Dutch politics | The Full Report
@aljazeeraenglish",6468.0,3.0,0,118
AlJazeeraEnglish,13160,2025-01-21 17:27:02+00:00,"At least seven killed and 35 injured in Israeli raid on Jenin in the occupied West Bank
@aljazeeraenglish",6691.0,2.0,0,105
AlJazeeraEnglish,13159,2025-01-21 17:26:47+00:00,"Rediscovering our connection to Earth | The call to Remember | earthrise documentary
@aljazeeraenglish",6304.0,4.0,0,102
AlJazeeraEnglish,13158,2025-01-21 17:25:30+00:00,"Trump says Putin ‘destroying’ Russia as Ukraine war drags on
@aljazeeraenglish",7219.0,0.0,0,78
AlJazeeraEnglish,13157,2025-01-21 17:25:18+00:00,"Trump’s Middle East policies not expected to be ‘coherent’, ‘linear’: Analysis
@aljazeeraenglish",6812.0,4.0,0,96
AlJazeeraEnglish,13156,2025-01-21 17:24:59+00:00,"New settlements in South Sudan emerge as thousands flee war-torn Sudan and receive emergency aid
@aljazeeraenglish",4950.0,1.0,0,114
AlJazeeraEnglish,13153,2025-01-21 01:33:42+00:00,"Irregular crossings at US-Mexico border at four-year low
@aljazeeraenglish",7502.0,2.0,0,74
AlJazeeraEnglish,13152,2025-01-20 19:34:12+00:00,"‘Golden age’: Donald Trump is sworn in as 47th president of the US
@aljazeeraenglish",7691.0,3.0,0,84
AlJazeeraEnglish,13151,2025-01-20 19:32:49+00:00,"The war in Gaza through the lens of a Palestinian influencer
@aljazeeraenglish",4980.0,4.0,0,78
AlJazeeraEnglish,13150,2025-01-20 19:32:38+00:00,"Greenland: Why does the US want it? | Pinch Point
@aljazeeraenglish",3704.0,5.0,0,67
AlJazeeraEnglish,13149,2025-01-20 16:23:43+00:00,"Politician leader Khalida Jarrar freed after months in solitary confinement
@aljazeeraenglish",3630.0,0.0,0,93
AlJazeeraEnglish,13148,2025-01-20 16:23:32+00:00,"Destruction at Kamal Adwan Hospital after months of Israeli fire and raids
@aljazeeraenglish",3859.0,1.0,0,92
AlJazeeraEnglish,13147,2025-01-20 16:23:19+00:00,"Drone footage shows Gaza in ruins after 15 months of war
@aljazeeraenglish",4071.0,5.0,0,74
AlJazeeraEnglish,13146,2025-01-20 16:23:07+00:00,"A look back at key Presidential inaugural speeches in US history
@aljazeeraenglish",3153.0,2.0,0,82
AlJazeeraEnglish,13145,2025-01-20 16:22:40+00:00,"Trump's emphasis on loyalty in cabinet selections as Senate confirmation hearings underway
@aljazeeraenglish",2806.0,0.0,0,108
AlJazeeraEnglish,13144,2025-01-20 13:08:47+00:00,"Southern Gaza’s Rafah left unrecognizable after months of Israeli bombardment
@aljazeeraenglish",2917.0,2.0,0,95
AlJazeeraEnglish,13143,2025-01-20 13:08:40+00:00,"Online dating’s untold dangers | Now You Know
@aljazeeraenglish",3476.0,4.0,0,63
AlJazeeraEnglish,13142,2025-01-20 13:07:39+00:00,"Trump's tariff threats could jeopardise Chinese investments in Africa, impacting local industries
@aljazeeraenglish",3642.0,3.0,0,115
AlJazeeraEnglish,13141,2025-01-20 06:24:07+00:00,"Hamas releases first three Israeli captives as Gaza ceasefire takes hold
@aljazeeraenglish",3152.0,1.0,0,90
AlJazeeraEnglish,13140,2025-01-19 21:00:32+00:00,"The only solution for the future of Gaza is Palestinian ‘national unity’: Mustafa Barghouti
@aljazeeraenglish",2864.0,1.0,0,109
AlJazeeraEnglish,13139,2025-01-19 21:00:19+00:00,"Gaza healthcare crisis: Israeli strikes push system to brink of collapse
@aljazeeraenglish",2886.0,1.0,0,90
AlJazeeraEnglish,13138,2025-01-19 17:54:48+00:00,"What does the resilience of Gaza's people tell the world? | Inside Story
@aljazeeraenglish",3293.0,4.0,0,90
AlJazeeraEnglish,13137,2025-01-19 17:53:46+00:00,"Chaotic scenes as Hamas releases Israeli captives to ICRC in Gaza | AJ#shorts
@aljazeeraenglish",3577.0,0.0,0,95
AlJazeeraEnglish,13136,2025-01-19 17:53:37+00:00,"‘Joy beyond measure’: Celebrations in Gaza as long-awaited ceasefire begins
@aljazeeraenglish",3024.0,5.0,0,93
AlJazeeraEnglish,13135,2025-01-19 17:53:26+00:00,"Injured Palestinians in Gaza desperate to travel abroad for life-saving treatment
@aljazeeraenglish",2254.0,2.0,0,99
AlJazeeraEnglish,13134,2025-01-19 17:53:19+00:00,"I'm a Latino preparing for Trump's mass deportation of migrants | Close Up
@aljazeeraenglish",2197.0,2.0,0,92
AlJazeeraEnglish,13132,2025-01-19 14:05:06+00:00,"Captives in Gaza: Mass protests urged Israeli government to act
@aljazeeraenglish",2172.0,0.0,0,81
AlJazeeraEnglish,13131,2025-01-19 10:41:34+00:00,"Israel-Hamas ceasefire in Gaza takes effect
@aljazeeraenglish",2203.0,2.0,0,61
AlJazeeraEnglish,13130,2025-01-19 10:41:22+00:00,"The stolen childhood in Gaza: The devastating toll of war on young Palestinians
@aljazeeraenglish",2145.0,3.0,0,97
AlJazeeraEnglish,13129,2025-01-19 10:40:42+00:00,"Netanyahu says ceasefire won’t begin until Hamas names captives to be freed: Report
@aljazeeraenglish",2144.0,1.0,0,101
AlJazeeraEnglish,13128,2025-01-19 07:19:59+00:00,"People’s march in DC: Thousands gather in US capital to protest Trump ahead of inauguration day
@aljazeeraenglish",2192.0,1.0,0,113
AlJazeeraEnglish,13127,2025-01-19 00:53:30+00:00,"Russian attack on Kyiv leaves 3 dead, damages metro and water pipeline
@aljazeeraenglish",2187.0,0.0,0,88
AlJazeeraEnglish,13126,2025-01-18 21:58:39+00:00,"Democratic defeat: Party officials begin reset to contest 2028 election
@aljazeeraenglish",2097.0,0.0,0,89
AlJazeeraEnglish,13125,2025-01-18 21:58:29+00:00,"South Korea faces turmoil as impeached president appears in court
@aljazeeraenglish",2021.0,0.0,0,83
AlJazeeraEnglish,13124,2025-01-18 19:02:07+00:00,"Israel will not proceed with Gaza ceasefire until it gets hostage list: Netanyahu
@aljazeeraenglish",1940.0,2.0,0,99
AlJazeeraEnglish,13123,2025-01-18 19:01:48+00:00,"A return to the white house: The republican party reshaped under Trump
@aljazeeraenglish",1766.0,1.0,0,88
AlJazeeraEnglish,13122,2025-01-18 19:01:41+00:00,"As wildfires ravage California, Elon Musk fans the flames of misinformation | The Listening Post
@aljazeeraenglish",1882.0,3.0,0,114
AlJazeeraEnglish,13121,2025-01-18 19:01:06+00:00,"Russia attacks Kyiv: At least three killed in Ukrainian capital
@aljazeeraenglish",1996.0,1.0,0,81
AlJazeeraEnglish,13120,2025-01-18 19:00:57+00:00,"Ceasefire deal: Palestinians hope they can return to northern Gaza
@aljazeeraenglish",1916.0,0.0,0,84
AlJazeeraEnglish,13119,2025-01-18 15:42:25+00:00,"The big questions over the ceasefire in Gaza | The Listening Post
@aljazeeraenglish",1846.0,3.0,0,83
AlJazeeraEnglish,13118,2025-01-18 15:41:27+00:00,"Demand shrinks for leather goods: Tanneries in Indian-administered Kashmir in decline
@aljazeeraenglish",1763.0,3.0,0,103
AlJazeeraEnglish,13117,2025-01-18 15:41:21+00:00,"Is Israel targeting children in Gaza? Fatima Bhutto & Victoria Rose | Reframe
@aljazeeraenglish",1715.0,3.0,0,95
AlJazeeraEnglish,13116,2025-01-18 15:40:51+00:00,"US-Cuba relations: Nations announce surprise deal
@aljazeeraenglish",1702.0,0.0,0,67
AlJazeeraEnglish,13115,2025-01-18 12:10:28+00:00,"Iran-Russia strategic partnership: New treaty deepens economic & defence ties
@aljazeeraenglish",1776.0,1.0,0,95
AlJazeeraEnglish,13114,2025-01-18 12:10:16+00:00,"Colombia suspends rebel peace talks: Surge of ELN violence wrecks policy of ""total peace""
@aljazeeraenglish",1810.0,0.0,0,107
AlJazeeraEnglish,13113,2025-01-18 12:10:07+00:00,"Israel approves ceasefire: Three-phase agreement will take effect on Sunday
@aljazeeraenglish",1727.0,1.0,0,93
AlJazeeraEnglish,13112,2025-01-18 08:18:00+00:00,"South Sudan protest: President calls for calm after anti-Sudanese unrest
@aljazeeraenglish",1630.0,0.0,0,90
AlJazeeraEnglish,13111,2025-01-18 08:17:46+00:00,"Gaza ceasefire deal to come into effect at 6:30 am GMT on Sunday
@aljazeeraenglish",1686.0,1.0,0,82
AlJazeeraEnglish,13110,2025-01-18 01:59:50+00:00,"Threatening Europe with tariffs: Companies unsettled by potential trade war
@aljazeeraenglish",1816.0,2.0,0,93
AlJazeeraEnglish,13109,2025-01-17 23:06:41+00:00,"US-Mexico relationship: Trump has threatened tariffs of 25 percent
@aljazeeraenglish",1807.0,2.0,0,84
AlJazeeraEnglish,13108,2025-01-17 19:46:49+00:00,"Macron in Lebanon: French president offers his support to new leaders
@aljazeeraenglish",1814.0,0.0,0,87
AlJazeeraEnglish,13107,2025-01-17 19:46:42+00:00,"Gabor Maté: Gaza, Zionism, and the ‘exploitation’ of Jewish trauma | The Take
@aljazeeraenglish",1669.0,3.0,0,95
AlJazeeraEnglish,13106,2025-01-17 16:36:11+00:00,"Netanyahu risks losing majority over security cabinet decision: Former Israeli negotiator
@aljazeeraenglish",1681.0,1.0,0,107
AlJazeeraEnglish,13105,2025-01-17 16:35:54+00:00,"Smotrich, Ben-Gvir’s opposition to deal leaves Netanyahu with three options: Ex-Israeli diplomat
@aljazeeraenglish",1711.0,2.0,0,114
AlJazeeraEnglish,13104,2025-01-17 13:26:18+00:00,"Israeli security cabinet to meet: Politicians divided on approval of ceasefire deal
@aljazeeraenglish",2023.0,1.0,0,101
AlJazeeraEnglish,13103,2025-01-17 10:05:16+00:00,"Russia-Iran relations: Allies to sign 20-year strategic partnership
@aljazeeraenglish",1943.0,1.0,0,85
AlJazeeraEnglish,13102,2025-01-17 06:33:55+00:00,"Sudan refugee crisis: 840,000 displaced to neighboring south Sudan
@aljazeeraenglish",1653.0,4.0,0,84
AlJazeeraEnglish,13101,2025-01-17 02:54:55+00:00,"The idea that Trump sealed Gaza ceasefire deal was ‘not correct’: Analysis
@aljazeeraenglish",1601.0,4.0,0,92
AlJazeeraEnglish,13100,2025-01-17 02:54:31+00:00,"Qatar’s PM calls on Israeli forces to withdraw from Syria buffer zone
@aljazeeraenglish",1449.0,3.0,0,87
AlJazeeraEnglish,13099,2025-01-17 02:54:24+00:00,"Israeli government has ‘no incentive’ to see ceasefire deal through: Marwan Bishara
@aljazeeraenglish",1390.0,0.0,0,101
AlJazeeraEnglish,13098,2025-01-16 23:51:24+00:00,"Israeli military could not break the Palestinian people: Mustafa Barghouti
@aljazeeraenglish",1366.0,1.0,0,92
AlJazeeraEnglish,13097,2025-01-16 23:51:00+00:00,"The future of kamala Harris: Paths forward for outgoing US vice-president
@aljazeeraenglish",1296.0,2.0,0,91
AlJazeeraEnglish,13096,2025-01-16 20:55:48+00:00,"Can the ceasefire agreement lead to lasting peace in Gaza? | Inside Story
@aljazeeraenglish",1292.0,0.0,0,91
AlJazeeraEnglish,13095,2025-01-16 20:54:44+00:00,"South Africa accused of ‘horrific’ crackdown as 78 bodies pulled from mine
@aljazeeraenglish",1488.0,1.0,0,92
AlJazeeraEnglish,13094,2025-01-16 20:54:36+00:00,"What does the Gaza ceasefire mean?  | The Take
@aljazeeraenglish",1337.0,0.0,0,64
AlJazeeraEnglish,13093,2025-01-16 20:53:39+00:00,"Deciphering Trump: How much is talk, how much is real? | The Bottom Line
@aljazeeraenglish",1266.0,1.0,0,90
AlJazeeraEnglish,13092,2025-01-16 16:28:18+00:00,"Rising chilli prices in Indonesia impact restaurants and farmers
@aljazeeraenglish",1256.0,1.0,0,82
AlJazeeraEnglish,13091,2025-01-16 16:28:09+00:00,"What would be the global impact of Trump’s economic policies? | Counting the Cost
@aljazeeraenglish",1186.0,2.0,0,99
AlJazeeraEnglish,13090,2025-01-16 16:27:08+00:00,"Egyptian ex-diplomat highlights outside ‘pressure’ to get Gaza deal
@aljazeeraenglish",1075.0,2.0,0,85
AlJazeeraEnglish,13089,2025-01-16 16:26:51+00:00,"Palestinian journalist Bisan Owda documents the destruction in Gaza
@aljazeeraenglish",1042.0,3.0,0,85
AlJazeeraEnglish,13088,2025-01-16 16:26:36+00:00,"This how the Gaza ceasefire announcement unfolded in Gaza and Israel | Al Jazeera Newsfeed
@aljazeeraenglish",1076.0,1.0,0,108
AlJazeeraEnglish,13087,2025-01-16 16:26:28+00:00,"Gaza aid surge will be challenging, ex-UN official says
@aljazeeraenglish",1003.0,0.0,0,73
AlJazeeraEnglish,13086,2025-01-16 12:46:13+00:00,"Israeli military intensifies attacks across Gaza since ceasefire announcement
@aljazeeraenglish",1238.0,4.0,0,95
AlJazeeraEnglish,13085,2025-01-16 12:46:02+00:00,"Netanyahu accuses Hamas of reneging on parts of ceasefire deal
@aljazeeraenglish",1149.0,2.0,0,80
AlJazeeraEnglish,13084,2025-01-16 12:45:51+00:00,"Why are California inmates deployed to help fight LA wildfires?
@aljazeeraenglish",1115.0,1.0,0,81
AlJazeeraEnglish,13083,2025-01-16 12:45:41+00:00,"Biden's final address: Outgoing US president makes last Oval Office speech
@aljazeeraenglish",1059.0,0.0,0,92
AlJazeeraEnglish,13082,2025-01-16 08:56:59+00:00,"‘Staying alive was luck’: Joy, despair in Gaza over Israel-Hamas ceasefire
@aljazeeraenglish",1156.0,1.0,0,92
AlJazeeraEnglish,13081,2025-01-16 08:56:53+00:00,"‘Comic’ behaviour of Biden, Trump both claiming Gaza ceasefire achievement: Analysis
@aljazeeraenglish",1148.0,0.0,0,102
AlJazeeraEnglish,13080,2025-01-16 05:44:36+00:00,"Returning home: Germany considers allowing Syrians to visit Syria
@aljazeeraenglish",1195.0,0.0,0,83
AlJazeeraEnglish,13079,2025-01-16 05:44:27+00:00,"Trump cabinet appointments: Confirmation hearings continue
@aljazeeraenglish",1095.0,0.0,0,76
AlJazeeraEnglish,13078,2025-01-16 05:44:13+00:00,"Syria-Turkiye relations: Foreign ministers meet to discuss a path forward
@aljazeeraenglish",1084.0,0.0,0,91
AlJazeeraEnglish,13077,2025-01-16 05:44:06+00:00,"Israeli captives await release: Fate of captives in Gaza drove massive protests
@aljazeeraenglish",1015.0,0.0,0,97
AlJazeeraEnglish,13076,2025-01-16 05:43:56+00:00,"Palestinians count losses of war: Displaced hold onto ruins and memories family
@aljazeeraenglish",1042.0,1.0,0,97
AlJazeeraEnglish,13075,2025-01-16 02:24:56+00:00,"The world's response to Gaza: Diplomacy and its failures under scrutiny
@aljazeeraenglish",1116.0,0.0,0,89
AlJazeeraEnglish,13074,2025-01-16 02:24:48+00:00,"Gaza ceasefire deal is a moment of relief for Palestinians: Mustafa Barghouti
@aljazeeraenglish",1083.0,0.0,0,95
AlJazeeraEnglish,13073,2025-01-15 23:14:33+00:00,"Palestinians will not forget Israeli atrocities: Hamas official
@aljazeeraenglish",1121.0,0.0,0,81
AlJazeeraEnglish,13072,2025-01-15 23:14:27+00:00,"Israel's war on Gaza: Palestinians endure 15 months of bloodshed
@aljazeeraenglish",1022.0,0.0,0,82
AlJazeeraEnglish,13071,2025-01-15 23:14:14+00:00,"Gaza deal ‘right move’ to bring captives back: Israel president
@aljazeeraenglish",1100.0,0.0,0,81
AlJazeeraEnglish,13070,2025-01-15 23:14:06+00:00,"Israel and Hamas agreed to timeline of Gaza deal: Qatar FM spokesman
@aljazeeraenglish",1015.0,0.0,0,86
AlJazeeraEnglish,13069,2025-01-15 23:13:53+00:00,"US, Israeli pressure on Hamas led to Gaza ceasefire: Biden
@aljazeeraenglish",934.0,0.0,0,76
AlJazeeraEnglish,13068,2025-01-15 20:03:18+00:00,"Israel and Hamas have agreed on a ceasefire deal to halt war: Qatari PM
@aljazeeraenglish",1043.0,2.0,0,89
AlJazeeraEnglish,13067,2025-01-15 20:02:45+00:00,"Celebrations taking place right across Gaza to welcome news of the ceasefire deal
@aljazeeraenglish",1012.0,2.0,0,99
AlJazeeraEnglish,13066,2025-01-15 20:02:25+00:00,"Netanyahu, a 'war criminal', cannot be trusted with a ceasefire: Marwan Bishara
@aljazeeraenglish",1030.0,1.0,0,97
AlJazeeraEnglish,13065,2025-01-15 20:02:12+00:00,"No letup in Israeli attacks on Gaza despite ceasefire deal progress
@aljazeeraenglish",982.0,0.0,0,85
AlJazeeraEnglish,13064,2025-01-15 20:02:04+00:00,"Russia, Iran to sign 20-year strategic partnership agreement | Inside Story
@aljazeeraenglish",1041.0,0.0,0,93
AlJazeeraEnglish,13063,2025-01-15 20:00:43+00:00,"What is fueling South Korea’s political drama?  | The Take
@aljazeeraenglish",1022.0,0.0,0,76
AlJazeeraEnglish,13062,2025-01-15 19:59:57+00:00,"Former UN aid chief says humanitarian deliveries weak point in proposed Gaza ceasefire
@aljazeeraenglish",1023.0,2.0,0,104
AlJazeeraEnglish,13061,2025-01-15 16:04:44+00:00,"Netanyahu could face domestic backlash if ceasefire leaves Hamas in power: Analysis
@aljazeeraenglish",1175.0,4.0,0,101
AlJazeeraEnglish,13060,2025-01-15 16:04:25+00:00,"Marco Rubio, Trump's pick for top diplomat, faces senate confirmation hearing
@aljazeeraenglish",1089.0,1.0,0,95
AlJazeeraEnglish,13058,2025-01-15 12:11:50+00:00,"UK obesity: Researchers urge overhaul of obesity diagnosis
@aljazeeraenglish",1077.0,0.0,0,76
AlJazeeraEnglish,13057,2025-01-15 12:11:41+00:00,"Russians in Kursk region ‘shaken’ as Ukraine launches new offensive
@aljazeeraenglish",1036.0,1.0,0,85
AlJazeeraEnglish,13056,2025-01-15 12:11:34+00:00,"South Korea president arrest: Police say Yoon is refusing to answer questions
@aljazeeraenglish",1083.0,0.0,0,95
AlJazeeraEnglish,13055,2025-01-15 12:11:27+00:00,"Mustafa Barghouti: Jenin drone strikes violate international law, aim at ethnic cleansing
@aljazeeraenglish",1041.0,0.0,0,107
AlJazeeraEnglish,13054,2025-01-15 12:11:10+00:00,"Turkiye boosts influence in Syria post-Assad, reopening embassy, pledging support and urging unity
@aljazeeraenglish",1001.0,0.0,0,116
AlJazeeraEnglish,13053,2025-01-15 08:13:52+00:00,"Los Angeles wildfires displace thousands, spark housing crisis amid emotional and community loss
@aljazeeraenglish",1077.0,0.0,0,114
AlJazeeraEnglish,13052,2025-01-15 04:48:57+00:00,"US confirmation hearing: Trump pick for defense secretary under scrutiny
@aljazeeraenglish",1090.0,0.0,0,90
AlJazeeraEnglish,13051,2025-01-15 04:48:44+00:00,"South Africa trapped miners: At least 36 dead bodies recovered in Stilfontein
@aljazeeraenglish",1061.0,1.0,0,95
AlJazeeraEnglish,13050,2025-01-15 04:48:36+00:00,"South Korea’s President Yoon arrested after ill-fated martial law attempt
@aljazeeraenglish",1035.0,0.0,0,91
AlJazeeraEnglish,13049,2025-01-15 04:48:22+00:00,"Ukraine missile strikes on Moscow: Kyiv's actions will 'not go unanswered'
@aljazeeraenglish",1004.0,0.0,0,92
AlJazeeraEnglish,13048,2025-01-15 01:44:33+00:00,"NATO launches new Baltic Sea mission to protect undersea cables
@aljazeeraenglish",972.0,0.0,0,81
AlJazeeraEnglish,13047,2025-01-15 01:44:27+00:00,"The world is tired of Israeli genocide and its crimes from Jenin to Jabalia : Marwan Bishara
@aljazeeraenglish",943.0,3.0,0,110
AlJazeeraEnglish,13046,2025-01-14 22:36:04+00:00,"The US has announced the lifting of the designation of Cuba as a state sponsor of terror
@aljazeeraenglish",993.0,0.0,0,106
AlJazeeraEnglish,13045,2025-01-14 22:35:54+00:00,"South Korea standoff: Authorities launch second attempt to arrest president
@aljazeeraenglish",989.0,1.0,0,93
AlJazeeraEnglish,13044,2025-01-14 22:35:43+00:00,"Israeli military says it attacked a target in Jenin
@aljazeeraenglish",970.0,0.0,0,69
AlJazeeraEnglish,13043,2025-01-14 22:35:33+00:00,"Mozambique post-election tension: Opposition continues to reject results
@aljazeeraenglish",894.0,0.0,0,90
AlJazeeraEnglish,13042,2025-01-14 19:47:18+00:00,"Israel maintains furious rate of attacks on Gaza amid hopes for ceasefire
@aljazeeraenglish",996.0,1.0,0,91
AlJazeeraEnglish,13041,2025-01-14 19:47:10+00:00,"Protester disrupts Blinken’s speech, accusing him of war crimes
@aljazeeraenglish",952.0,1.0,0,81
AlJazeeraEnglish,13040,2025-01-14 19:47:01+00:00,"Is a Gaza ceasefire deal possible this time? | Inside Story
@aljazeeraenglish",819.0,1.0,0,77
AlJazeeraEnglish,13039,2025-01-14 19:45:57+00:00,"Germany considers one-time trips for Syrian refugees without losing immigration status
@aljazeeraenglish",753.0,0.0,0,104
AlJazeeraEnglish,13038,2025-01-14 19:45:38+00:00,"Russia vows retaliation after Ukraine's largest missile strikes target military sites
@aljazeeraenglish",807.0,0.0,0,103
AlJazeeraEnglish,13037,2025-01-14 19:45:29+00:00,"Trump’s coming back and US media has a lot to look forward to | The Listening Post
@aljazeeraenglish",842.0,0.0,0,100
AlJazeeraEnglish,13036,2025-01-14 19:45:16+00:00,"What's next for Lebanon? | The Take
@aljazeeraenglish",823.0,0.0,0,53
AlJazeeraEnglish,13035,2025-01-14 19:44:09+00:00,"Biden will be remembered for genocide in Gaza | #AJOPINION
@aljazeeraenglish",987.0,3.0,0,76
AlJazeeraEnglish,13034,2025-01-14 19:44:02+00:00,"Israeli historian says Zionism entering its ‘last phase’ | Al Jazeera Newsfeed
@aljazeeraenglish",960.0,4.0,0,96
AlJazeeraEnglish,13033,2025-01-14 15:53:27+00:00,"Pete Hegseth, Trump’s Pentagon pick, faces Senate confirmation hearing
@aljazeeraenglish",925.0,0.0,0,88
AlJazeeraEnglish,13032,2025-01-14 15:53:20+00:00,"How the Ashaninka are healing the rainforest | Message from the Amazon | earthrise Documentary
@aljazeeraenglish",990.0,6.0,0,112
AlJazeeraEnglish,13031,2025-01-14 15:51:07+00:00,"Fire crews race to contain Los Angeles wildfires as death toll rises to 24
@aljazeeraenglish",1010.0,0.0,0,92
AlJazeeraEnglish,13030,2025-01-14 15:50:58+00:00,"Netanyahu to turn to centrists if Ben-Gvir, Smotrich quit over ceasefire deal: Ex-Israeli official
@aljazeeraenglish",967.0,2.0,0,116
AlJazeeraEnglish,13029,2025-01-14 12:03:14+00:00,"Mali tax dispute: Military govt seizes gold from Canadian mining giant
@aljazeeraenglish",931.0,1.0,0,88
AlJazeeraEnglish,13028,2025-01-14 12:03:04+00:00,"Residents of Syria's Darayya return to rebuild despite high costs and challenges
@aljazeeraenglish",913.0,1.0,0,98
AlJazeeraEnglish,13027,2025-01-14 12:02:49+00:00,"Meet the 'Heat Hawks': Locals supporting firefighters and evacuees amid California wildfires
@aljazeeraenglish",939.0,0.0,0,110
AlJazeeraEnglish,13026,2025-01-14 12:02:35+00:00,"Operation under way to rescue trapped miners from South African gold mine
@aljazeeraenglish",879.0,2.0,0,91
AlJazeeraEnglish,13025,2025-01-14 12:02:27+00:00,"Dina Boluarte’s plastic surgery controversy: Peru's president accused of abandoning her post
@aljazeeraenglish",867.0,0.0,0,110
AlJazeeraEnglish,13024,2025-01-14 07:50:14+00:00,"Mozambique opens new parliament amid opposition protests and boycotts
@aljazeeraenglish",955.0,0.0,0,87
AlJazeeraEnglish,13023,2025-01-14 07:50:03+00:00,"Palestinians under Israeli siege in north Gaza going days without clean water
@aljazeeraenglish",1065.0,1.0,0,95
AlJazeeraEnglish,13022,2025-01-14 07:49:51+00:00,"Lebanon’s president names ICJ judge Nawaf Salam as PM-designate
@aljazeeraenglish",1155.0,0.0,0,81
AlJazeeraEnglish,13021,2025-01-14 04:31:27+00:00,"Biden delivers final foreign policy speech as Gaza ceasefire talks continue
@aljazeeraenglish",1138.0,0.0,0,93
AlJazeeraEnglish,13020,2025-01-13 22:00:42+00:00,"Gaza ceasefire deal to be divided in three stages: Israeli media
@aljazeeraenglish",1096.0,3.0,0,82
