audit_id,audit_channel,comment_text,platform,gendered_harm_proba,harm_role,annotator_a_perpetrator,annotator_a_role,annotator_a_notes,annotator_b_spotcheck,annotator_b_perpetrator,final_perpetrator,is_spotcheck
BRE_10,Breaking Down Patriarchy,"Take all that content with a grain of salt. Most is faked. Many of the women making this content have teams behind it and it's usually made as propaganda. It's not even the women in the videos in charge of actually making and producing that content. Especially the clips shown at the beginning of this video. They are too ""perfect"".",YouTube,0.6191,perpetrator_attack,,,,,,,True
BRE_11,Breaking Down Patriarchy,Why feel sad? Women need to feel that it is okay about them wanting to stay home with their infant children to spend more time caring for them. Women need to feel that it is okay for them wanting to work outside the home too.,YouTube,0.4319,perpetrator_attack,,,,,,,True
BRE_12,Breaking Down Patriarchy," @shadrach6299     Millions of Americans including whole families, children, & seniors are without, or loosing their healthcare thanks to Trump and his sycophants. Divorced women are only a small fragment of the greater evil tragedy thanks to Trump. 
The electorate was well warned before they put Trump in office a second time.  He has broken every campaign promise he made to get elected.",YouTube,0.3334,perpetrator_attack,,,,,,,True
BRE_13,Breaking Down Patriarchy," @pamelamceachern9537   I agree that in the end, feminism is good for both men and women because it allows both sexes to make the most of their talents and to respect the contributions of both. My husband and I are retired now but there were many years when I worked and he was the stay at home spouse. In some ways we fall into traditional gender roles ( I like to sew and he works on the cars) but in other ways we don't. He cooks, I load the dishwasher, etc. No one should be forced into any role by societal expectations.",YouTube,0.7191,perpetrator_attack,,,,,,,True
BRE_14,Breaking Down Patriarchy,Not a movement more a resurgence. Usually reserved for those too old to care anymore,YouTube,0.4848,perpetrator_attack,,,,,,,True
BRE_15,Breaking Down Patriarchy,"It was less expensive to have artists create what was needed than to pay for expensive cameras and lighting, find the right models, build the right sets, etc. As cameras got cheaper they eclipsed artists, and they were no longer needed, sadly. Sort of like AI today.",YouTube,0.5086,perpetrator_attack,,,,,,,False
BRE_16,Breaking Down Patriarchy,"I’ve been thinking about this issue a lot, and I realized something watching this video. A lot of trad wife creators do/create some genuinely cool stuff. They farm, they bake cool stuff, they make things. Why is it that the only way they feel they can present these cool skills and creations to the world is through the lens of “this is how I perform dutiful wife and motherhood”, as opposed to “here’s some amazing skills I have and cool stuff I created, and I’d love to teach you to do it too!” *. This has been driving me nuts as I am a woman who loooves gardening, small scale farming, baking, preserving food, sewing, knitting, embroidery, motherhood. Trad wife content is soooooo not my bag, but you can’t look at any of these topics on social media without being fed trad wife content relentlessly by social media algorithms. I just want to see women doing all the cool stuff they do without the lens of submission and obedience to their husbands!

*The answer, of course, is patriarchy.",YouTube,0.5224,perpetrator_attack,,,,,,,True
BRE_17,Breaking Down Patriarchy," @ejmt785  I am very sorry to hear that. And I'm not going to pretend that I know what happened in your case. But when I look at my mother and grandmother, they both suffered from being mothers and housewives. In the case of my grandmother, my grandfather tried to support her as his as he could. My father maybe due to his own mental health issues which he never addressed as getting help for it would have been too feminine was less supportive. But my grandfather was a great man. But that didn't change the fact that being a housewife and mother was probably not fulfilling for my grandmother who might have enjoyed a more intellectually stimulating task or one that involved less housekeeping. So, the roles assigned to women in patriarchy as well as the way of being socialized into a specific behaviour can make women (and men in a different way) unhappy even if they find ""good husbands"". 
I myself have occasionally been in intimate relationships, but throughout most of my life I didn't feel that love or a man captivated me as much as science does. I just find it odd to view another human being as an investment (as a male friend described relationships) I put time in rather than a person with whom I want to spend time and share my life with. And with science it's never been ""Well, I need to make time for it and commit to it, if I want this to be part of my life."" I just had a strong desire to spend my life engaging with it.",YouTube,0.4528,perpetrator_attack,,,,,,,False
BRE_18,Breaking Down Patriarchy, @XxXx-Evo exactly even if he is loyal husband it’s still a very bad idea!,YouTube,0.4175,perpetrator_attack,,,,,,,False
BRE_19,Breaking Down Patriarchy,It's either because they haven't seen how much prior generations suffered or because their mothers and grandmothers were too good at hiding it.,YouTube,0.5574,perpetrator_attack,,,,,,,False
BRE_20,Breaking Down Patriarchy,"​ @Himmiefan  of course, they are working.  it's a business it's a career so no not traditional.",YouTube,0.5011,perpetrator_attack,,,,,,,False
BRE_21,Breaking Down Patriarchy,Being a homemaker and being a traditional wife are not the same. A homemaker can be a feminist but not a traditional wife.,YouTube,0.5489,perpetrator_attack,,,,,,,True
BRE_22,Breaking Down Patriarchy,A very good point! So many years and still nothing.,YouTube,0.4695,perpetrator_attack,,,,,,,False
BRE_23,Breaking Down Patriarchy," @jenna2431  you are confusing the concept of traditional wife with the behaviour of DV. 
They are two different things and not connected. 
They could both exist in a relationship simultaneously of course but they also could just add easily not.",YouTube,0.4634,perpetrator_attack,,,,,,,True
BRE_24,Breaking Down Patriarchy, @SyndicShadow  That’s circular logic. Homemaking isn’t dangerous because society “broke down” marriage and family—it became risky because there were no safety nets or protections for women who were financially dependent. That’s one of the reasons society began rethinking those rigid roles in the first place.,YouTube,0.6021,perpetrator_attack,,,,,,,False
BRE_25,Breaking Down Patriarchy, @AramethHastings  How would that help her realize her frustrated dreams? And she's never said that she left him.,YouTube,0.2924,perpetrator_attack,,,,,,,False
BRE_26,Breaking Down Patriarchy,"At a feminist convention (many) decades ago, I got a button that says, “Every Mother Is a Working Mother.” Homemakers (a better term than “Stay at Home Mom,” which I find nauseating) were routinely denigrated as nearly useless, dumb individuals, despite their 80 hour work weeks. These newby girls, playing house, playing at Submission, are just silly.",YouTube,0.5869,perpetrator_attack,,,,,,,False
BRE_27,Breaking Down Patriarchy,@kathrinbauer5358  are you saying all women today and mothers and grandmother's hide suffering?  What suffering?  Technically men and women have all been suffering and still are. Today women have privileges men dont...and they still say women suffering...when in reality...women are provided privilege and comforts by men...that men don't get?,YouTube,0.9486,perpetrator_attack,,,,,,,False
BRE_28,Breaking Down Patriarchy,"@d3pr0fundis Which is why women need the means to walk away,especially with children.",YouTube,0.6614,perpetrator_attack,,,,,,,False
BRE_29,Breaking Down Patriarchy,"Absolutely right.  Poor women have always worked in agriculture, care work, factory workers, as servants and in the sweated trades (dressmaking, hat making) etc.  Sadly, people do not know history and create fantasies of their own making about ""traditional marriage"" and what it was like in the past.",YouTube,0.5383,perpetrator_attack,,,,,,,False
TUR_00,Turning Point USA,"It's nitpicking, he is focusing on something HE thinks is an issue, because it's an issue to HIM rather than objectively focusing on reasons and facts behind said unhappiness.

Even things like women not getting married and not having children has multiple reasons, a lot of which women have spoken out about - yet, men like these do not want to listen because they are ultimately focused on themselves and the rejection they feel.",YouTube,0.5568,perpetrator_attack,,,,,,,True
TUR_01,Turning Point USA, @Jigiri-v6n r u cooked shes answering by showing the stupidity of the answers he wants. If you can't understand how her answer is an answer thats on ur intelligence. I could go through and dumb down what her answer is for every one of his questions.,YouTube,0.4975,perpetrator_attack,,,,,,,False
TUR_02,Turning Point USA,It's funny Charlie doesn't need anything and makes all the coherent points,YouTube,0.4789,perpetrator_attack,,,,,,,True
TUR_03,Turning Point USA," @mightytaiger3000 I think you missed the point where she says there’s no proof of it either way, if women are competent enough to hold office. Essentially there’s no scientific proof that we shouldn’t have more freedoms.",YouTube,0.6422,perpetrator_attack,,,,,,,True
TUR_04,Turning Point USA,"EVEN IF she was looking up something else on the internet, I don't know why that would be a problem. This is a debate with facts and nobody can remember every single fact. This is not an exam to prove who knows more facts but a discussion to see which side has the more correct stance!",YouTube,0.4673,perpetrator_attack,,,,,,,False
TUR_05,Turning Point USA,"Tilly: ""Can you at least concede that Feminism offers only one potential explanation [for severe unhappiness in women in the west]""

Charlie: ""Of course, obviously...""

2:50

He isn't boiling the unhappiness in western women to just not being married and having kids. His argument is that it is the most glaring reason based on studies and surveys showing women in the west with children are happier then those without. Tilly doesn't reject that premise, she instead rejects the notion that happiness is the metric that should be maximised. In other words she proposes and I agree, that personal freedom and agency should be maximised even if that leads to more unhappiness. 

TLDR: You must have misheard, Charlie thinks not having kids is the most significant reason, not the sole reason.",YouTube,0.5798,perpetrator_attack,,,,,,,False
TUR_06,Turning Point USA,"​​​​​​ @jayargh1132  Bad example. A lawyer does not debate with a judge, especially not about societal subjects. He tries to prove someone's guilt or innocence using real evidence and testimonies and the judge make a decision at the end. There is a truth and the goal is to prove it. He does not do research on the Internet and then spit it all out in front of the judge, speaking very quickly to camouflage the fact that he is reading instead of debating. In a debate, the ""absolute truth"" does not exist, so you have to debate, not read the points found on the Internet one after the other without even looking at your interlocutor. So yes, it's different, and in the context of a debate, it's a problem. She didn't talk to her opponent, she wasn't reasoning. She didn't even respond to what Charlie was saying. She just listened, and when it was her turn, she read. That's it. What does it change if Charlie makes it for a living? Busy or not, a debate is a debate, and she chose to do it. If you can't debate as a supposedly busy student, don't do it. Charlie did his research, but he didn't read it like a robot. He used his words to express his opinion. What trouble? He had no trouble saying everything he want and debating FOR REAL. He is not rehearsing his points at all, and even if he did, it's still better than reading chatGPT text.Talking about his herrings is definitely an admission of failure on your part because you have nothing else to say. Anyway, if you don't see why what's she's doing is a problem, you clearly don't know what a debate is.",YouTube,0.237,perpetrator_attack,,,,,,,True
TUR_07,Turning Point USA,"No, we take issue with her rejecting the god ordained value of the family, woman taking care of children, and men providing in favor of secular humanism and the government taking care of everyone and their children. That’s what it boils down to. It’s two different worldviews that are at complete odds with one another and cannot get along.",YouTube,0.6071,perpetrator_attack,,,,,,,False
TUR_08,Turning Point USA,​@kindasus6915I do. And im not an avid charlie supporter. But ive yet to see a feminist use her brain with consistent logic,YouTube,0.4732,perpetrator_attack,,,,,,,False
TUR_09,Turning Point USA," @tricky92x  That is just about the dumbest thing I've heard all year. Can AI do it? Yes. Can this provide an articulate debate segment for an actual human being? Not a chance. If this was AI generated, she would have to read it first before speaking it, or she would inevitably be saying something completely off the wall at some point. These are very clearly bullet points - hence the scrolling. Why does her not looking up preclude it from being bullet points? If this were an AI generated speech, why would she be scrolling so frequently? And if it were AI generated, how could she guarantee the AI would be on her side? Critical thinking is indeed my friend, but it seems not on speaking terms with you.",YouTube,0.4287,perpetrator_attack,,,,,,,True
TUR_10,Turning Point USA,She contradicted herself 😂 she has no credibility on what she's saying,YouTube,0.2098,perpetrator_attack,,,,,,,False
TUR_11,Turning Point USA,"​ @NaphtaliCaldwell  those organizations have quite literally done so much for women. It's not null and voide when it's working on the root of the problem - patriarchy. Also could you explain better what you mean by ""lobbying for actions and laws against men"". Like bring out examples and such.",YouTube,0.535,perpetrator_attack,,,,,,,True
TUR_12,Turning Point USA,"@swiftseaa6225 
His facts are, mostly, incorrect. 
Rwanda is a predominantly christian nation, women make LESS money then Men do in the U.S. and the measurements in ‘happiness’ he uses are so incoherent.. he is just making points that align with your believes so you chose to believe them..",YouTube,0.6144,perpetrator_attack,,,,,,,True
TUR_13,Turning Point USA,She also couldn't say even a single sentence without staring at her phone. So interesting. I wonder how much time she spent on that one piece of subject matter.,YouTube,0.4774,perpetrator_attack,,,,,,,False
TUR_14,Turning Point USA,He had zero actually data other than studies show. What studies? How were they done? If women wanted to stay at home and have babies they would. No one is pressuring us to have careers. We are beings that enjoy challenge and working gives that to us.,YouTube,0.5162,perpetrator_attack,,,,,,,False
TUR_15,Turning Point USA," @302CastleMusic Exactly! She is steady making about intelligent points and Charlie keeps trying to derail by going, “What’s a woman?” “Prostates!” “Islam!” Etc etc. It’s so incredibly juvenile.",YouTube,0.415,perpetrator_attack,,,,,,,False
TUR_16,Turning Point USA,"Honestly, they're just pushing an incorrect narrative for their religious dogma. Sure female satisfaction is down, yet female satisfaction is overall higher than male satisfaction on average in the US, and male satisfaction in the US is lower than other developed countries. Seems to me, they only target female satisfaction while ignoring male satisfaction to push a meritless dogmatic religious narrative. Ignoring the fact that both men and women have more individual pressure points and overall more complicated (relatively speaking) lives, and using happiness (satisfaction) as a metric is just a stupid metric.",YouTube,0.749,perpetrator_attack,,,,,,,False
TUR_17,Turning Point USA,"​@kindasus6915As stated before, if you lobby against r4p3 laws so that mem can press charges against female aggressors (what the NOW did), this is not equality, and it gives us evidemce that feminists belief of equality is not true quality, as it has been shown time again that going against these ideas are met with pushback",YouTube,0.5089,perpetrator_attack,,,,,,,True
TUR_18,Turning Point USA,"I think for most people if we ""do what we want to do""  it leaves us miserable or worse. Most people don't know what is best for them and they need something greater than themselves to surrender to. That's why we must be CHILDREN of God and pray and discern that His Will be done and not our own. Also pray for the courage and commitment to do God's will and not our own. Society needs woman to be WOMAN.",YouTube,0.4474,perpetrator_attack,,,,,,,True
TUR_19,Turning Point USA,@blessyou5081 hahaha go look at each of her interviews. She had less than a DAY to prepare.,YouTube,0.4553,perpetrator_attack,,,,,,,False
TUR_20,Turning Point USA,​ @Defjamfandetta how do you do every women want that . Stop generalising everything,YouTube,0.5658,perpetrator_attack,,,,,,,False
TUR_21,Turning Point USA,Women are happiest when they are doing what they want to do. There is no right or wrong decision because there isn’t one type of woman. Society needs every type of woman to function,YouTube,0.8655,perpetrator_attack,,,,,,,False
TUR_22,Turning Point USA,For real. Every conservative is like “people cant be happy without having kids” while nobody can afford to have kids and have no time outside of work to meet people and form relationships.,YouTube,0.4658,perpetrator_attack,,,,,,,False
TUR_23,Turning Point USA, @mightytaiger3000 America is cooked. I don't have skin in the game. I listen to what she says and I listen to what he says. She obliterates him. Like absolute slam dunk. She is answering his questions by displaying how stupid the answer he wants is. If you can't put 2 and 2 together then idk schooling has failed you.,YouTube,0.3125,perpetrator_attack,,,,,,,False
TUR_24,Turning Point USA,"It honestly does not matter as long as it's true, it is like a preacher looking at a Bible while they preach.",YouTube,0.5665,perpetrator_attack,,,,,,,True
TUR_25,Turning Point USA,"She lost the debate right off the rip!!! ""Can a women have a prostate?"" Game set match.",YouTube,0.6493,perpetrator_attack,,,,,,,False
TUR_26,Turning Point USA,"Because he knows those are all true, but they didn’t serve his agenda, so pretended they weren’t factors on how happy or unhappy women are.",YouTube,0.8136,perpetrator_attack,,,,,,,False
TUR_27,Turning Point USA,She's just spewing  word vomit nothing substantial,YouTube,0.1502,perpetrator_attack,,,,,,,False
TUR_28,Turning Point USA,"Its not that she did research, its that she is just reading a lot of her points. Not that those arent great points tho",YouTube,0.2693,perpetrator_attack,,,,,,,False
TUR_29,Turning Point USA," @NaphtaliCaldwell  SA is an umbrella term, and even then over 90% of the offenders are men lmao so your point makes 0 sense. i said over 90% of the rape offenders are men to explain my point better why a lot of feminists don't want the defintion of the word to be changed. it would tear the focus away from victims who get penetrated, especially away from women (who are the main victims of rape).",YouTube,0.7137,perpetrator_attack,,,,,,,False
CAT_00,Catfished,"Because people have emotions; when you are in a state of depression, and you see a light at the end of the tunnel, your emotions will cloud the reality of what's going on ; Its so easy to judge someone when you're life is going well, until it doesn't",YouTube,0.6201,perpetrator_attack,,,,,,,True
CAT_01,Catfished," @SarcasticPixie  She’s not lonely, she even said she loves being alone. She is addicted to the dopamine hit she gets by the messages & compliments, & being able to afford to send whatever they ask to keep the dopamine flowing. This is what she finds rewarding.",YouTube,0.3439,perpetrator_attack,,,,,,,False
CAT_02,Catfished,She didn't have a midife crisis. She's having a damn near end life crisis.  No way she really thinks Matt wants to Marry her....  🤦🏻‍♀️. She needs a POA. Not in the right mind set to care for herself.  Kind of sad. 😒,YouTube,0.369,perpetrator_attack,,,,,,,False
CAT_03,Catfished,​ @sssfsshtscfjyv7600 And bored!,YouTube,0.5418,perpetrator_attack,,,,,,,False
CAT_04,Catfished,"First of all, these people worked hard for their money. Who are you to judge where they should spend their money to? Her kid seems not to care, except for her to spend it to herself (the mother). That mom worked hard for that money, she can spend it however she want. The only sad part here is, she got scammed.

What's more pathetic is people like you who just wants freebies because you're too lazy to work your butt off. And don't tell me you do, because you wouldn't have had this mindset if you know how to do actual labor.",YouTube,0.5563,perpetrator_attack,,,,,,,False
CAT_05,Catfished,"Exact thoughts. Truth is, she's lonely, even though she claims she likes being alone. Humans instinctively craves companionship.",YouTube,0.2438,perpetrator_attack,,,,,,,False
CAT_06,Catfished,"What she could have done with the money instead:

1. Open a Disco Roller Rink.

2. Get a PhD in Relationship Management.

3. Start a Senior Scam Center
for anyone else who lost their brain cells when their hair turned gray.",YouTube,0.5212,perpetrator_attack,,,,,,,False
CAT_07,Catfished," @revekat2053   But both Cinderella and Pretty Woman were gorgeous just like their male love interest.  When ""John"" said,""You are quite the looker yourself.""   I cringed.  How can she miss that a man like that is out of her league?",YouTube,0.519,perpetrator_attack,,,,,,,False
CAT_08,Catfished,​ @Fin44544 But she has become delusional enough to believe she's his One and Only. 😢😢😢,YouTube,0.3731,perpetrator_attack,,,,,,,False
CAT_09,Catfished,But what does that say about the relationship between the victim and her own family if she's willing to help a complete 💯 stranger and unwilling to help her own kids?..  there's a special place in hell for scammers 🔥,YouTube,0.3103,perpetrator_attack,,,,,,,True
CAT_10,Catfished,Because of movies like Cinderella and Pretty Woman.,YouTube,0.5538,perpetrator_attack,,,,,,,False
CAT_11,Catfished,"Because they are delusional and narcissists. 
Their kids should abandon them, closed that chapter and go live their own lives.",YouTube,0.6138,perpetrator_attack,,,,,,,True
CAT_12,Catfished,because they are desperate,YouTube,0.5849,perpetrator_attack,,,,,,,False
CAT_13,Catfished,The devils work preying on lonely people.OMG do those people understand somethings wrong when someone says they loves you in 2 weeks and then asks for money .I'm single but no way in he'll would I send anyone my hard earned  money.,YouTube,0.4656,perpetrator_attack,,,,,,,False
CAT_14,Catfished,It's their money they can give it to anyone they want. She does not owe her kids a damn thing,YouTube,0.5298,perpetrator_attack,,,,,,,True
CAT_15,Catfished,"""... If he's a scammer, that's fine ""


🤦🏽‍♂️ Deserve to lose your money almost",YouTube,0.4444,perpetrator_attack,,,,,,,False
CAT_16,Catfished,She'd probably accuse him of being an imposter 🥴🙄,YouTube,0.4848,perpetrator_attack,,,,,,,False
CAT_17,Catfished,"This was my Mom 😂 my Mom wouldn't give us her kids a dollar or a dime our whole lives and my mom got scammed by someone claiming to be some famous military guy & she is sending him money. She thinks he is real because he has a daughter & the daughter calls her Mom so apparently that makes him real. These ppl who get scammed the majority are extreme narcissists. Not all are narcs but many are. 
I have some funny stories about my Mom and this fake general.",YouTube,0.5527,perpetrator_attack,,,,,,,False
CAT_18,Catfished,"​@FCE-dogsI'd just be furious that she's essentially wasting her childrens' inheritance. If she were spending it on anything other than drugs, gambling, or scams, fine, but when it's just being tossed down a black hole like this, I think it's acceptable for her family to be resentful 🤷🏼‍♀️",YouTube,0.4032,perpetrator_attack,,,,,,,False
CAT_19,Catfished,"Its her money, she earned it, nobody is entitled to it regardless of relation. So why is she lonely enough to fall for that and where are they when she's getting scammed? Its her money to give to a scammer and its still a free country to spend as you like or will and yeah there are better things she should be doing with it for herself but all the same its hers and she knows where she is sending it...",YouTube,0.5525,perpetrator_attack,,,,,,,False
CAT_20,Catfished,"They think they can buy their fantasy person like they buy a romance novel!  These kind of people need someone looking after them, but they want a swimwear model instead of a real person.",YouTube,0.511,perpetrator_attack,,,,,,,True
CAT_21,Catfished,​@yvonneschwab4853  no it's not. Its just same as sugar baby's. She knows EXACTLY what she's doing,YouTube,0.3202,perpetrator_attack,,,,,,,True
CAT_22,Catfished,"​ @SarcasticPixie  She's l9nely, but she can relieve her loneliness in other ways.",YouTube,0.4129,perpetrator_attack,,,,,,,True
CAT_23,Catfished,"She is crazy and this is diagnoses, if you do not want to see truth than who can help you. A milliner asking you for money, seriously 😂",YouTube,0.366,perpetrator_attack,,,,,,,False
CAT_24,Catfished,"​ @Tinacurruthers Oh boy. At least he's a real person, I guess.",YouTube,0.3689,perpetrator_attack,,,,,,,True
CAT_25,Catfished,"It’s not that simple, though. These scams only work on people with a very specific psychological profile. The vast majority of these victims have literally never experienced a situation where they’ve generated interest. It’s all new to them. 
And secondly, it’s easy for the victims to believe that the scammers have fallen in love with them because the victims have fallen in love with the scammers in the same time period. That’s what makes it so sad and takes an absolute scumbag to do these things. 
The money and gifts are the easy part to get over… It’s easily replaced. The time and the devastation left in their wake are the things that are lost forever…",YouTube,0.6033,perpetrator_attack,,,,,,,True
CAT_26,Catfished,Because they are VULNERABLE ! Why can't you get that sweetie? That's who romance scammers do...they find the vulnerable...dah! 🙄,YouTube,0.5129,perpetrator_attack,,,,,,,False
CAT_27,Catfished,"She's trapped at home with her severely senile mother, lonely, and her only other long term relationship was with an abusive man who left her because she was stuck caring for her mother. She's hurt, probably a little desperate, and not at all internet savvy. I very rarely feel sorry for the people on this show, but I do feel some sympathy for Mary.",YouTube,0.3309,perpetrator_attack,,,,,,,True
CAT_28,Catfished,She just think she’s a real catch to get a man like that. How these ladies have such a high esteem of themselves is beyond me. She has to weigh 300 lbs. r tree here is nothing attractive about her. Desperation makes one do and think things that will never happen in real life.,YouTube,0.5815,perpetrator_attack,,,,,,,False
CAT_29,Catfished,it is sad but it says how desperate they are for a relationship. They believe what they want to hear. These horrible scammers know what they want and take advantage of them.,YouTube,0.6058,perpetrator_attack,,,,,,,False
SAM_00,Samantha Bee,"The sad thing is modern feminism is not promoting a life of happiness, it is promoting a life of loneliness, narcissism and bitterness. Young women need role models who are genuinely happy, who have lead rich lives. Equality should not mean being equally spiteful and hate driven as the lowest male denominator.",YouTube,0.7659,perpetrator_attack,,,,,,,False
SAM_01,Samantha Bee,"Silver lining,
More lefty/feminist division.
You don't want equality, you want socially acceptable man-hate.",YouTube,0.5125,perpetrator_attack,,,,,,,True
SAM_02,Samantha Bee,clipobserver what’s more important is innocent until proven guilty. Not the other way around,YouTube,0.415,perpetrator_attack,,,,,,,False
SAM_03,Samantha Bee,"have you read something good before? Imagine you are doing it with this, assume that she has something, and that you dont know what she is going to say. look in a mirror and check yourself. whether you are a man or a woman, your a speaking from  a man-centric point of view. there are several good points which you haven't yet gotten.",YouTube,0.2708,perpetrator_attack,,,,,,,False
SAM_04,Samantha Bee,Nessie8 the majority are.,YouTube,0.3964,perpetrator_attack,,,,,,,True
SAM_05,Samantha Bee,"I only listened to the whole thing to be fair, before I slammed the dislike button.  Some videos get better as they continue, this one does not.",YouTube,0.4671,perpetrator_attack,,,,,,,False
SAM_06,Samantha Bee,MagnuMagnus what would happen if a male host made a list of women?,YouTube,0.638,perpetrator_attack,,,,,,,True
SAM_07,Samantha Bee,They will just turn off like/dislike & comments.,YouTube,0.5076,perpetrator_attack,,,,,,,True
SAM_08,Samantha Bee,Zuma Zuma i believe the accusers even if 2-6 % are lying.,YouTube,0.4661,perpetrator_attack,,,,,,,False
SAM_09,Samantha Bee,"Both men and women can be guilty of exploitation.  Some women had outspokenly expressed concern that the #MeToo movement might be poisoned by undeserving claims of harassment.  All one would have to do is just wait to see it, because it would--and has--end up happening.  Pendulum effect maybe?  Too much momentum from being too far to one side perhaps.  There is a definite danger that if women who have a bothersome experience and immediately flip it to #MeToo, it will demean the real and deserving claims of harassment.",YouTube,0.7391,perpetrator_attack,,,,,,,False
SAM_10,Samantha Bee,She's so sweet,YouTube,0.2207,perpetrator_attack,,,,,,,True
SAM_11,Samantha Bee,Annina Frey men hunt much?!,YouTube,0.4808,perpetrator_attack,,,,,,,False
SAM_12,Samantha Bee,"Nobody is trying to 'castrate' anybody... most of the men accused haven't even lost their jobs, much less faced legal challenges like harassment. Using that as an excuse to not travel in a professional context with women is interesting though. For the record, you're always open to harassment claims, even with another male employee. It seems interesting that a lawyer would claim that there is no meaningful defense in a harassment claim. That's just patently false... even conservative estimates show that only about 50% go to trial; most are dismissed since the standard for proving harassment is quite high, and even less are even actually convicted. As a former lawyer I'm sure you're aware of this, so I'm not sure why you're framing it in such an absurd light. If you want to have the conversation, then have the conversation, don't reduce the other side's argument to what amounts to a straw man argument (another thing I'm sure you're well aware of).",YouTube,0.6064,perpetrator_attack,,,,,,,False
SAM_13,Samantha Bee,"When they say witch hunt they mean by accusing people without proper evidence/ fair trial, they aren't saying that the alligations aren't true but if everyone starts pointing fingers and accusing people of serious crimes such as these, innocent people get hurt not only personally but through their career. (look up the boston witch trials people got messed up because of some little girls) I definetly think you could have conveyed your message better rather then to an extent ""ranting"".",YouTube,0.5599,perpetrator_attack,,,,,,,True
SAM_14,Samantha Bee,innocent until proven guilty and the concept of a meritocracy won't be necessary when the noble class of female is established.,YouTube,0.5354,perpetrator_attack,,,,,,,False
SAM_15,Samantha Bee,"Huge fan of Samantha Bee but I’m afraid I disagree with stating that a list (that went viral) where anyone can be accused of an act without any proof whatsoever was ok because it was only for woman to share amongst each other. The list can unfairly harm any innocent people mentioned. Also, I’m assuming that one night stands are to be no more? As this is not usually an emotional experience.",YouTube,0.4471,perpetrator_attack,,,,,,,False
SAM_16,Samantha Bee,Dominic Comerford if that is your idea of logical then there is no hope for you,YouTube,0.4412,perpetrator_attack,,,,,,,True
SAM_17,Samantha Bee,"Seriously? Men are literally having a meltdown in the youtube comments because someone detailed how they felt coerced during a date. Can't handle the fire, don't come to the kitchen.",YouTube,0.6068,perpetrator_attack,,,,,,,True
SAM_18,Samantha Bee,"Man, the womansplaining is real.",YouTube,0.4264,perpetrator_attack,,,,,,,False
